1.7e-02  2.1284e-01    1.8957e-01  
1.8e-02  2.1965e-01    1.9563e-01  
1.9e-02  2.2664e-01    2.0185e-01  
2.0e-02  2.3380e-01    2.0822e-01  
2.1e-02  2.4113e-01    2.1474e-01  
2.2e-02  2.4865e-01    2.2141e-01  
2.3e-02  2.5633e-01    2.2824e-01  
2.4e-02  2.6420e-01    2.3522e-01  
2.5e-02  2.7223e-01    2.4235e-01  
2.6e-02  2.8044e-01    2.4964e-01  
2.7e-02  2.8882e-01    2.5707e-01  
2.8e-02  2.9737e-01    2.6464e-01  
3.0e-02  3.0608e-01    2.7236e-01  
3.1e-02  3.1496e-01    2.8021e-01  
3.3e-02  3.2398e-01    2.8820e-01  
3.4e-02  3.3316e-01    2.9631e-01  
3.6e-02  3.4248e-01    3.0455e-01  
3.7e-02  3.5194e-01    3.1290e-01  
3.9e-02  3.6152e-01    3.2136e-01  
4.1e-02  3.7122e-01    3.2991e-01  
4.3e-02  3.8103e-01    3.3855e-01  
4.5e-02  3.9093e-01    3.4727e-01  
4.7e-02  4.0090e-01    3.5606e-01  
4.9e-02  4.1095e-01    3.6489e-01  
5.1e-02  4.2105e-01    3.7376e-01  
5.4e-02  4.3117e-01    3.8265e-01  
5.6e-02  4.4132e-01    3.9155e-01  
5.9e-02  4.5144e-01    4.0042e-01  
6.2e-02  4.6154e-01    4.0926e-01  
6.4e-02  4.7158e-01    4.1804e-01  
6.7e-02  4.8154e-01    4.2673e-01  
7.1e-02  4.9139e-01    4.3532e-01  
7.4e-02  5.0108e-01    4.4376e-01  
7.7e-02  5.1061e-01    4.5204e-01  
8.1e-02  5.1992e-01    4.6013e-01  
8.5e-02  5.2899e-01    4.6798e-01  
8.9e-02  5.3776e-01    4.7556e-01  
9.3e-02  5.4621e-01    4.8284e-01  
9.7e-02  5.5428e-01    4.8978e-01  
1.0e-01  5.6192e-01    4.9633e-01  
1.1e-01  5.6910e-01    5.0246e-01  
1.1e-01  5.7576e-01    5.0811e-01  
1.2e-01  5.8184e-01    5.1324e-01  
1.2e-01  5.8729e-01    5.1780e-01  
1.3e-01  5.9205e-01    5.2175e-01  
1.3e-01  5.9607e-01    5.2503e-01  
1.4e-01  5.9928e-01    5.2759e-01  
1.5e-01  6.0163e-01    5.2937e-01  
1.5e-01  6.0306e-01    5.3033e-01  
1.6e-01  6.0349e-01    5.3040e-01  
1.7e-01  6.0288e-01    5.2955e-01  
1.8e-01  6.0116e-01    5.2771e-01  
1.8e-01  5.9827e-01    5.2483e-01  
1.9e-01  5.9416e-01    5.2087e-01  
2.0e-01  5.8877e-01    5.1579e-01  
2.1e-01  5.8205e-01    5.0953e-01  
2.2e-01  5.7396e-01    5.0206e-01  
2.3e-01  5.6446e-01    4.9336e-01  
2.4e-01  5.5351e-01    4.8339e-01  
2.5e-01  5.4110e-01    4.7213e-01  
2.6e-01  5.2721e-01    4.5959e-01  
2.8e-01  5.1183e-01    4.4576e-01  
2.9e-01  4.9499e-01    4.3066e-01  
3.0e-01  4.7671e-01    4.1431e-01  
3.2e-01  4.5702e-01    3.9676e-01  
3.3e-01  4.3599e-01    3.7805e-01  
3.5e-01  4.1370e-01    3.5828e-01  
3.6e-01  3.9024e-01    3.3752e-01  
3.8e-01  3.6575e-01    3.1589e-01  
4.0e-01  3.4037e-01    2.9352e-01  
4.2e-01  3.1426e-01    2.7058e-01  
4.3e-01  2.8763e-01    2.4723e-01  
4.6e-01  2.6070e-01    2.2366e-01  
4.8e-01  2.3370e-01    2.0011e-01  
5.0e-01  2.0692e-01    1.7679e-01  
5.2e-01  1.8063e-01    1.5397e-01  
